menu rates - menu rates
Cakes,Size,,,
Flavours,500g,1000g,,
Signature Chocolate,₹850.00,"₹1,700.00",,
Choco Oreo,₹850.00,"₹1,700.00",,
Chocolate Truffle,₹900.00,"₹1,800.00",,
Choco Mocha,₹900.00,"₹1,800.00",,
Choco Hazelnut,₹950.00,"₹1,900.00",,
Choco Almond,₹950.00,"₹1,900.00",,
Choco Strawberry,₹950.00,"₹1,900.00",,
Choco Blueberry,₹950.00,"₹1,900.00",,
Pineapple Gateau,₹750.00,"₹1,550.00",,
Butterscotch,₹800.00,"₹1,600.00",,
Rasmalai,₹900.00,"₹1,800.00",,
Strawberry,₹900.00,"₹1,800.00",,
Blueberry,₹900.00,"₹1,800.00",,
,,,,
Brownie Bites,Size,,,
Flavours,Box of 8,Box of 16,Box of 24,Box of 36
Fudgy,₹280.00,₹560.00,₹840.00,"₹1,260.00"
Peanut Butter,₹300.00,₹600.00,₹900.00,"₹1,350.00"
Nutella,₹320.00,₹640.00,₹960.00,"₹1,440.00"
Biscoff,₹360.00,₹720.00,"₹1,080.00","₹1,620.00"
,,,,
Medium Brownies,Size,,,
Flavours,Box of 6,Box of 8,Box of 16,
Fudgy,₹540.00,₹720.00,"₹1,440.00",
Peanut Butter,₹560.00,₹750.00,"₹1,500.00",
Nutella,₹580.00,₹770.00,"₹1,550.00",
Biscoff,₹600.00,₹800.00,"₹1,600.00",
,,,,
Large Brownies,Size,,,
Flavours,Box of 6,Box of 8,Box of 16,
Fudgy,₹600.00,₹900.00,"₹1,350.00",
Peanut Butter,₹610.00,₹920.00,"₹1,380.00",
Nutella,₹620.00,₹930.00,"₹1,400.00",
Biscoff,₹640.00,₹960.00,"₹1,500.00",
,,,,
Cupcakes,Size,,,
Flavours,Mini,Medium,Large,
Chocolate Truffle,₹35.00,₹85.00,₹100.00,
Signature Chocolate,₹35.00,₹80.00,₹95.00,
Vanilla Chocochip,₹35.00,₹85.00,₹100.00,
Vanilla,₹35.00,₹75.00,₹90.00,
Butterscotch,₹40.00,₹90.00,₹120.00,
Red Velvet,₹50.00,₹100.00,₹130.00,
,,,,
Cookies,Size,,,
Flavours,Box of 8 (mini),Box of 15 (mini),,
Choco Chips,₹200.00,₹400.00,,
Jam Cookies,₹250.00,₹512.00,,
Red Velvet,₹350.00,₹612.00,,
,,,,
Cheesecake,Size,,,
Flavours,100g,500g,1000g,
Blueberry,₹125.00,₹600.00,"₹1,200.00",
Strawberry,₹125.00,₹600.00,"₹1,200.00",
Nutella,₹150.00,₹620.00,"₹1,240.00",
Biscoff,₹150.00,₹650.00,"₹1,300.00",
,,,,
Tarts,Size,,,
Flavours,Bite Size,Big,,
Lemon Tart,₹35.00,₹100.00,,
Strawberry,₹35.00,₹100.00,,
Blueberry,₹35.00,₹100.00,,
Chocolate,₹35.00,₹100.00,,
,,,,
Snacks,Price,,,
Korean buns (2),150,,,
Garlic Bread,250,,,
Pizza Pasta Skewers (5),150,,,
