Cakes,Size,,,
Flavours,500g,1000g,,
Signature Chocolate,₹850,"₹1,700",,
Choco Oreo,₹850,"₹1,700",,
Chocolate Truffle,₹900,"₹1,800",,
Choco Mocha,₹900,"₹1,800",,
Choco Hazelnut,₹950,"₹1,900",,
Choco Almond,₹950,"₹1,900",,
Choco Strawberry,₹950,"₹1,900",,
Choco Blueberry,₹950,"₹1,900",,
Pineapple Gateau,₹750,"₹1,550",,
Butterscotch,₹800,"₹1,600",,
Rasmalai,₹900,"₹1,800",,
Strawberry,₹900,"₹1,800",,
Blueberry,₹900,"₹1,800",,
,,,,
Brownie Bites,Size,,,
Flavours,Box of 8,Box of 16,Box of 24,Box of 36
Fudgy,₹280,₹560,₹840,"₹1,260"
Peanut Butter,₹300,₹600,₹900,"₹1,350"
Nutella,₹320,₹640,₹960,"₹1,440"
Biscoff,₹360,₹720,"₹1,080","₹1,620"
,,,,
Medium Brownies,Size,,,
Flavours,Box of 6,Box of 8,Box of 16,
Fudgy,₹540,₹720,"₹1,440",
Peanut Butter,₹560,₹750,"₹1,500",
Nutella,₹580,₹770,"₹1,550",
Biscoff,₹600,₹800,"₹1,600",
,,,,
Large Brownies,Size,,,
Flavours,Box of 6,Box of 8,Box of 16,
Fudgy,₹600,₹900,"₹1,350",
Peanut Butter,₹610,₹920,"₹1,380",
Nutella,₹620,₹930,"₹1,400",
Biscoff,₹640,₹960,"₹1,500",
,,,,
Cupcakes,Size,,,
Flavours,Mini,Medium,Large,
Chocolate Truffle,₹35,₹85,₹100,
Signature Chocolate,₹35,₹80,₹95,
Vanilla Chocochip,₹35,₹85,₹100,
Vanilla,₹35,₹75,₹90,
,,,,
Cookies,Size,,,
Flavours,Box of 8 (mini),Box of 15 (mini),,
Choco Chips,₹200,₹400,,
Jam Cookies,₹250,₹512,,
Red Velvet,₹350,₹612,,
,,,,
Cheesecake,Size,,,
Flavours,100g,500g,1000g,
Blueberry,₹125,₹600,"₹1,200",
Strawberry,₹125,₹600,"₹1,200",
Nutella,₹150,₹620,"₹1,240",
Biscoff,₹150,₹650,"₹1,300",
,,,,
Tarts,,,,
Flavours,Mini,Medium,Large,
Tarts,₹35,₹85,₹100,
,,,,
Snacks,Price,,,
Korean buns (2),150,,,
Garlic Bread,250,,,
Pizza Pasta Skewers (5),150,,,
